,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma)
268,KN23.4,-86.1372,0.55,-2799.0,180.0,0.20919566720372668,37.655220096670796,POINT (-86.13720000000001 0.55),98.0,3.0
269,KN23.5,-86.12545,0.5519277779999999,-2764.0,184.0,0.20919566720372668,38.49200276548571,POINT (-86.12545 0.5519277779999999),85.0,3.0
270,KN23.6,-86.12444999999998,0.5420666665,-2790.0,130.0,0.20919566720372668,27.19543673648447,POINT (-86.12444999999998 0.5420666665),85.0,3.0
271,KN23.7,-86.12155,0.5420666665,-2792.0,126.0,0.20919566720372668,26.35865406766956,POINT (-86.12155 0.5420666665),85.0,3.0
272,KN23.8,-86.12055000000002,0.5420666665,-2796.0,126.0,0.20919566720372668,26.35865406766956,POINT (-86.12055000000002 0.5420666665),85.0,3.0
273,KN24.1,-86.13625,0.5833166665,-2709.0,1231.0,0.20919566720372668,257.51986632778755,POINT (-86.13625 0.5833166665),74.0,3.0
274,KN25.1,-86.09205,0.5891500000000001,-2749.0,1093.0,0.20919566720372668,228.6508642536733,POINT (-86.09205 0.5891500000000001),62.0,3.0
275,KN26.1,-85.97155,0.7,-2638.0,410.0,0.20919566720372668,85.77022355352794,POINT (-85.97154999999999 0.7),38.0,2.5
276,KN26.2,-85.97155,0.6833166665000001,-2678.0,251.0,0.20919566720372668,52.508112468135394,POINT (-85.97154999999999 0.6833166665000001),38.0,2.5
277,KN26.3,-85.97155,0.6705388889999999,-2721.0,163.0,0.20919566720372668,34.098893754207445,POINT (-85.97154999999999 0.6705388889999999),38.0,2.5
278,KN27.1,-86.00195,0.657761111,-2700.0,540.0,0.20919566720372668,112.9656602900124,POINT (-86.00194999999999 0.657761111),38.0,2.6
279,KN27.2,-86.00195,0.641127778,-2723.0,456.0,0.20919566720372668,95.39322424489937,POINT (-86.00194999999999 0.641127778),57.0,2.6
280,KN3.1,-86.07544999999998,0.6352944444999999,-2719.0,481.0,0.20919566720372668,100.62311592499252,POINT (-86.07544999999998 0.6352944444999999),62.0,2.6
281,KN3.2,-86.07155,0.6352944444999999,-2726.0,255.0,0.20919566720372668,53.34489513695029,POINT (-86.07155 0.6352944444999999),62.0,2.6
282,KN3.3,-86.0676,0.6343055555,-2709.0,247.0,0.20919566720372668,51.67132979932049,POINT (-86.0676 0.6343055555),62.0,2.6
283,KN3.4,-86.05680000000002,0.6333166665,-2719.0,406.0,0.20919566720372668,84.93344088471305,POINT (-86.05680000000002 0.6333166665),62.0,2.9
284,KN3.5,-86.05194999999998,0.6254333335,-2715.0,410.0,0.20919566720372668,85.77022355352794,POINT (-86.05194999999998 0.6254333335),62.0,2.9
285,KN3.6,-86.04204999999997,0.6244444444999999,-2711.0,473.0,0.20919566720372668,98.94955058736272,POINT (-86.04204999999997 0.6244444444999999),57.0,2.9
286,KN3.7,-86.03720000000001,0.6234555555,-2685.0,620.0,0.20919566720372668,129.70131366631054,POINT (-86.03720000000001 0.6234555555),57.0,2.9
287,KN3.8,-86.03329999999998,0.6215277779999999,-2676.0,599.0,0.20919566720372668,125.30820465503227,POINT (-86.03329999999998 0.6215277779999999),57.0,2.9
288,KN3.9,-86.02155,0.620538889,-2678.0,758.0,0.20919566720372668,158.57031574042483,POINT (-86.02155 0.620538889),57.0,2.9
289,KN4.1,-86.12155,0.6225166664999999,-2711.0,205.0,0.20919566720372668,42.88511177676397,POINT (-86.12155 0.6225166664999999),62.0,3.0
290,KN4.2,-86.12055000000002,0.6234555555,-2702.0,193.0,0.20919566720372668,40.374763770319255,POINT (-86.12055000000002 0.6234555555),62.0,3.0
291,KN4.3,-86.10679999999998,0.6234555555,-2698.0,109.0,0.20919566720372668,22.80232772520621,POINT (-86.10679999999998 0.6234555555),62.0,3.0
292,KN4.4,-86.10679999999998,0.6244444444999999,-2702.0,142.0,0.20919566720372668,29.705784742929193,POINT (-86.10679999999998 0.6244444444999999),62.0,3.0
293,KN4.5,-86.10390000000002,0.6234555555,-2693.0,193.0,0.20919566720372668,40.374763770319255,POINT (-86.10390000000002 0.6234555555),62.0,3.0
294,KN4.6,-86.09205,0.6225166664999999,-2693.0,327.0,0.20919566720372668,68.40698317561862,POINT (-86.09205 0.6225166664999999),62.0,3.0
