,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts
264,KN22.1,-86.1539,0.551927778,-2784.0,222.0,0.20919566720372668,46.44143811922732
265,KN23.1,-86.1667,0.5558333335000001,-2715.0,239.0,0.20919566720372668,49.99776446169068
266,KN23.2,-86.15100000000001,0.5539055555,-2762.0,222.0,0.20919566720372668,46.44143811922732
267,KN23.3,-86.13915,0.5529166665,-2788.0,318.0,0.20919566720372668,66.52422217078508
268,KN23.4,-86.1372,0.55,-2799.0,180.0,0.20919566720372668,37.6552200966708
269,KN23.5,-86.12545,0.551927778,-2764.0,184.0,0.20919566720372668,38.49200276548571
270,KN23.6,-86.12444999999998,0.5420666665,-2790.0,130.0,0.20919566720372668,27.195436736484467
271,KN23.7,-86.12155,0.5420666665,-2792.0,126.0,0.20919566720372668,26.358654067669562
272,KN23.8,-86.12055000000001,0.5420666665,-2796.0,126.0,0.20919566720372668,26.358654067669562
273,KN24.1,-86.13625,0.5833166665,-2709.0,1231.0,0.20919566720372668,257.51986632778755
274,KN25.1,-86.09205,0.5891500000000001,-2749.0,1093.0,0.20919566720372668,228.65086425367326
275,KN26.1,-85.97155,0.7,-2638.0,410.0,0.20919566720372668,85.77022355352794
276,KN26.2,-85.97155,0.6833166665,-2678.0,251.0,0.20919566720372668,52.508112468135394
277,KN26.3,-85.97155,0.6705388889999999,-2721.0,163.0,0.20919566720372668,34.098893754207445
278,KN27.1,-86.00195,0.657761111,-2700.0,540.0,0.20919566720372668,112.96566029001241
279,KN27.2,-86.00195,0.641127778,-2723.0,456.0,0.20919566720372668,95.39322424489936
280,KN3.1,-86.07544999999999,0.6352944444999999,-2719.0,481.0,0.20919566720372668,100.62311592499253
281,KN3.2,-86.07155,0.6352944444999999,-2726.0,255.0,0.20919566720372668,53.3448951369503
282,KN3.3,-86.0676,0.6343055555,-2709.0,247.0,0.20919566720372668,51.67132979932049
283,KN3.4,-86.05680000000001,0.6333166665,-2719.0,406.0,0.20919566720372668,84.93344088471304
284,KN3.5,-86.05194999999999,0.6254333335,-2715.0,410.0,0.20919566720372668,85.77022355352794
285,KN3.6,-86.04204999999999,0.6244444444999999,-2711.0,473.0,0.20919566720372668,98.94955058736272
286,KN3.7,-86.03720000000001,0.6234555555,-2685.0,620.0,0.20919566720372668,129.70131366631054
287,KN3.8,-86.03329999999998,0.621527778,-2676.0,599.0,0.20919566720372668,125.30820465503228
288,KN3.9,-86.02155,0.620538889,-2678.0,758.0,0.20919566720372668,158.57031574042483
289,KN4.1,-86.12155,0.6225166664999999,-2711.0,205.0,0.20919566720372668,42.88511177676397
290,KN4.2,-86.12055000000001,0.6234555555,-2702.0,193.0,0.20919566720372668,40.37476377031925
